project_name,project_description,project_type,project_manager,region,department,project_cost,project_benefit,complexity,status,completion%,phase,year,month,start_date,end_date,planned_cost,actual_cost,fte_reduction,avg_salary,cost_variance,cost_variance_pct,fte_savings,roi_pct,roi_norm,fte_norm,variance_norm,portfolio_score,priority_rank
Rhinestone,Associations Now Is A Casual Game To Teach You How .Io Algorithmically Creates Content For You. It Is The World First Game For Content Marketing Education. Find Out How Your Topic Is Used In The Wild.,INCOME GENERATION,Yael Wilcox,North,retail_banking," 3,648,615.00 "," 8,443,980.00 ",High,In - Progress,77%,Phase 4 - Implement,2021,2,2/1/2021,6/1/2021,2645928,2557793.705770534,1,95005.38461538461,88134.294229466,3.33,95005.38,3.71,0.05124309392265193,0.22282988007623167,0.19249116872807095,0.145,57.0
A Triumph Of Softwares,Is A Fully Managed Content Marketing Software Deal For Saas Companies Who Want To Focus On Their Customers And The Big Idea In 2018.,INCOME GENERATION,Brenda Chandler,West,marketing," 4,018,835.00 "," 9,012,225.00 ",High,Cancelled,80%,Phase 2 - Develop,2021,3,3/1/2021,6/1/2021,2538566,2288335.0556201525,3,101049.38271604938,250230.9443798475,9.86,303148.15,13.25,0.1830110497237569,0.711017269862312,0.5465210490050305,0.45,19.0
The Blue Bird,"Most Content Marketers Know The Golden Rule: You Must Put Quality Content First. Is A Solution For Founders Who Want To Win At Content Marketing, And It Helps You Create Content Faster With State Of The Art Ai Generation. Our Proprietary Ai Analyzes The Content Of Your Competitors And Helps You Generate Optimized Content Faster.",INCOME GENERATION,Nyasia Hunter,North,it," 4,285,483.00 "," 9,078,339.00 ",High,Completed,100%,Phase 4 - Implement,2021,3,3/1/2021,6/1/2021,2163716,2030396.5277547888,2,96917.80821917808,133319.47224521125,6.16,193835.62,9.55,0.1319060773480663,0.4546307583749679,0.2911786070456835,0.277,44.0
Remembering Our Ancestors,"Utilize And Utilizes (Verb Form) The Open, Inclusive, And Uncontrollable Content Marketplace To Make Your Brand The Top Content Site For Your Topic.",PROCESS IMPROVEMENT,Brenda Chandler,East,marketing," 5,285,864.00 "," 8,719,006.00 ",High,Cancelled,75%,Phase 5 - Measure,2021,3,3/1/2021,6/1/2021,2571787,2409306.87079946,3,101049.38271604938,162480.12920054002,6.32,303148.15,12.58,0.17375690607734806,0.711017269862312,0.354867424063894,0.389,27.0
Skyhawks,"Is A Solution For Founders Who Want To Win At Content Marketing. We Use Proprietary Ai To Analyze The Competition For Your Topic, And To Help You Create Optimized Content Faster With State Of The Art Ai Generation.",WORKING CAPITAL IMPROVEMENT,Jaylyn Mckenzie,East,marketing," 5,785,601.00 "," 8,630,148.00 ",High,Completed,100%,Phase 1 - Explore,2021,3,3/1/2021,6/1/2021,852620,836325.6258513324,2,101049.38271604938,16294.374148667557,1.91,202098.77,24.17,0.33383977900552486,0.47401152105969074,0.03558799841754277,0.286,40.0
The Coding Master,"Association Now Operates Like An Ai Editor, Working Invisibly Behind The Scenes To Help Brands Create Optimized Content. Associations Now Ai Platform Analyzes The Competition For Your Topic. When Your Ai Content Is Complete, It’S Custom-Printed, Personalized, And Delivered To Your Audience.",PROCESS IMPROVEMENT,Nyasia Hunter,West,credit_risk," 3,326,031.00 "," 8,504,224.00 ",Medium,In - Progress,77%,Phase 3 - Plan,2021,3,3/1/2021,6/1/2021,1529798,1277925.8972747743,1,102085.42007590266,251872.10272522573,16.46,102085.42,7.99,0.11035911602209944,0.23943572349409833,0.5501054481396873,0.281,43.0
"Fierce, Inc.","While Traditional Marketing Approaches Have Never Been More Expensive, Is A Solution For Founders Who Want To Win At Content Marketing. Our Team Of Experienced Marketers Has Created A Proprietary Algorithm, Which Is Continuously Learned And Improved.",COST REDUCTION,Brenda Chandler,North,it," 4,557,606.00 "," 9,014,448.00 ",High,Completed,100%,Phase 5 - Measure,2021,4,4/1/2021,7/1/2021,1613568,1768676.4965660267,0,96917.80821917808,-155108.4965660267,-9.61,0.0,0.0,0.0,0.0,-0.338767287407021,-0.102,96.0
Mo-Money Masterclass,Associations Now Helps It Departments And Association Leaders Stay Ahead Of The Cyber-Threat Tidal Wave With Customized Security Solutions And Cybersecurity Strategies. Our Customers Include Is The Boards Of Governors Of The Most Famous And Influential Associations In The World.​​,WORKING CAPITAL IMPROVEMENT,Yael Wilcox,West,retail_banking," 3,190,009.00 "," 8,674,613.00 ",High,Completed,100%,Phase 1 - Explore,2021,4,4/1/2021,7/1/2021,2329405,2393914.9555028863,0,95005.38461538461,-64509.955502886325,-2.77,0.0,0.0,0.0,0.0,-0.1408940394645477,-0.042,92.0
Town Hall Meeting,"Was Founded By A Group Of Marketers Who Were Tired Of Relying On Content Creation Scripts And Templates, And Wanted To Run A Business With The Perfect Balance Of Creativity And Efficiency. We Believe That Automation Is The Key To Optimizing The Way We Create And Consume Content And We Want To Give Founders And Marketers The Same Tools We Use To Scale Our Own Content Marketing Efforts.",COST REDUCTION,Nyasia Hunter,North,retail_banking," 3,442,649.00 "," 9,070,797.00 ",Low,Completed,100%,Phase 2 - Develop,2021,5,5/1/2021,8/1/2021,1093852,1292516.4628922315,2,95005.38461538461,-198664.46289223153,-18.16,190010.77,14.7,0.20303867403314915,0.4456597836069119,-0.4338964188820263,0.085,70.0
Yosemite,You Are Leading Upstart On A Journey To Build Your Company. That Where The Journey Ends. Let Get You Over The Hump. We Are Just Two Industry Veterans Busy Building Our Own Company. We Know What It Like.,WORKING CAPITAL IMPROVEMENT,Kamari Norris,South,marketing," 3,475,275.00 "," 8,994,585.00 ",Low,On - Hold,90%,Phase 4 - Implement,2021,5,5/1/2021,8/1/2021,824956,855110.7651045509,0,101049.38271604938,-30154.76510455087,-3.66,0.0,0.0,0.0,0.0,-0.06586001542807858,-0.02,89.0
